episode,t,state,action,reward,next_state,done,epsilon,q_before,q_after,td_target,td_error
1,0,401,0,-1.0,401,0,0.1,0.0,-0.009999999776482582,-1.0,-1.0
1,1,401,2,-1.0,401,0,0.1,0.0,-0.009999999776482582,-1.0,-1.0
1,2,401,1,-1.0,301,0,0.1,0.0,-0.009999999776482582,-1.0,-1.0
1,3,301,0,-1.0,401,0,0.1,0.0,-0.009999999776482582,-1.0,-1.0
1,4,401,3,-1.0,401,0,0.1,0.0,-0.009999999776482582,-1.0,-1.0
1,5,401,4,-10.0,401,0,0.1,0.0,-0.10000000149011612,-10.0,-10.0
1,6,401,5,-10.0,401,0,0.1,0.0,-0.10000000149011612,-10.0,-10.0
1,7,401,0,-1.0,401,0,0.1,-0.009999999776482582,-0.019989999011158943,-1.0089999997988344,-0.9990000000223518
1,8,401,0,-1.0,401,0,0.1,-0.019989999011158943,-0.0298800989985466,-1.0089999997988344,-0.9890100007876754
1,9,401,1,-1.0,301,0,0.1,-0.009999999776482582,-0.019899999722838402,-1.0,-0.9900000002235174
1,10,301,1,-1.0,201,0,0.1,0.0,-0.009999999776482582,-1.0,-1.0
1,11,201,1,-1.0,101,0,0.1,0.0,-0.009999999776482582,-1.0,-1.0
1,12,101,0,-1.0,201,0,0.1,0.0,-0.009999999776482582,-1.0,-1.0
1,13,201,0,-1.0,301,0,0.1,0.0,-0.009999999776482582,-1.0,-1.0
1,14,301,2,-1.0,301,0,0.1,0.0,-0.009999999776482582,-1.0,-1.0
1,15,301,3,-1.0,301,0,0.1,0.0,-0.009999999776482582,-1.0,-1.0
1,16,301,4,-10.0,301,0,0.1,0.0,-0.10000000149011612,-10.0,-10.0
1,17,301,5,-10.0,301,0,0.1,0.0,-0.10000000149011612,-10.0,-10.0
1,18,301,0,-1.0,401,0,0.1,-0.009999999776482582,-0.019989999011158943,-1.0089999997988344,-0.9990000000223518
1,19,401,2,-1.0,401,0,0.1,-0.009999999776482582,-0.019989999011158943,-1.0089999997988344,-0.9990000000223518
1,20,401,3,-1.0,401,0,0.1,-0.009999999776482582,-0.019989999011158943,-1.0089999997988344,-0.9990000000223518
1,21,401,1,-1.0,301,0,0.1,-0.019899999722838402,-0.029790999367833138,-1.0089999997988344,-0.989100000075996
1,22,301,1,-1.0,201,0,0.1,-0.009999999776482582,-0.019899999722838402,-1.0,-0.9900000002235174
