episode,t,state,action,reward,next_state,done,epsilon,q_before,q_after,td_target,td_error
1,0,92,5,-10.0,92,0,0.1,0.0,-2.0,-10.0,-10.0
1,1,92,0,-1.0,192,0,0.1,0.0,-0.20000000298023224,-1.0,-1.0
1,2,192,0,-1.0,292,0,0.1,0.0,-0.20000000298023224,-1.0,-1.0
1,3,292,0,-1.0,392,0,0.1,0.0,-0.20000000298023224,-1.0,-1.0
1,4,392,0,-1.0,492,0,0.1,0.0,-0.20000000298023224,-1.0,-1.0
1,5,492,4,-10.0,492,0,0.1,0.0,-2.0,-10.0,-10.0
1,6,492,0,-1.0,492,0,0.1,0.0,-0.20000000298023224,-1.0,-1.0
1,7,492,3,-1.0,472,0,0.1,0.0,-0.20000000298023224,-1.0,-1.0
1,8,472,0,-1.0,472,0,0.1,0.0,-0.20000000298023224,-1.0,-1.0
1,9,472,1,-1.0,372,0,0.1,0.0,-0.20000000298023224,-1.0,-1.0
1,10,372,0,-1.0,472,0,0.1,0.0,-0.20000000298023224,-1.0,-1.0
1,11,472,2,-1.0,492,0,0.1,0.0,-0.20000000298023224,-1.0,-1.0
1,12,492,1,-1.0,392,0,0.1,0.0,-0.20000000298023224,-1.0,-1.0
1,13,392,1,-1.0,292,0,0.1,0.0,-0.20000000298023224,-1.0,-1.0
1,14,292,0,-1.0,392,0,0.1,-0.20000000298023224,-0.36000001430511475,-1.0,-0.7999999970197678
1,15,392,2,-1.0,392,0,0.1,0.0,-0.20000000298023224,-1.0,-1.0
1,16,392,3,-1.0,372,0,0.1,0.0,-0.20000000298023224,-1.0,-1.0
1,17,372,4,-10.0,372,0,0.1,0.0,-2.0,-10.0,-10.0
1,18,372,1,-1.0,272,0,0.1,0.0,-0.20000000298023224,-1.0,-1.0
1,19,272,0,-1.0,372,0,0.1,0.0,-0.20000000298023224,-1.0,-1.0
1,20,372,2,-1.0,392,0,0.1,0.0,-0.20000000298023224,-1.0,-1.0
1,21,392,4,-10.0,392,0,0.1,0.0,-2.0,-10.0,-10.0
1,22,392,5,-10.0,392,0,0.1,0.0,-2.0,-10.0,-10.0
1,23,392,0,-1.0,492,0,0.1,-0.20000000298023224,-0.36000001430511475,-1.0,-0.7999999970197678
1,24,492,4,-10.0,492,0,0.1,-2.0,-3.5999999046325684,-10.0,-8.0
1,25,492,0,-1.0,492,0,0.1,-0.20000000298023224,-0.36000001430511475,-1.0,-0.7999999970197678
1,26,492,2,-1.0,492,0,0.1,0.0,-0.20000000298023224,-1.0,-1.0
1,27,492,5,-10.0,492,0,0.1,0.0,-2.0,-10.0,-10.0
1,28,492,1,-1.0,392,0,0.1,-0.20000000298023224,-0.3959999978542328,-1.180000002682209,-0.9799999997019768
1,29,392,1,-1.0,292,0,0.1,-0.20000000298023224,-0.36000001430511475,-1.0,-0.7999999970197678
1,30,292,1,-1.0,192,0,0.1,0.0,-0.20000000298023224,-1.0,-1.0
1,31,192,1,-1.0,92,0,0.1,0.0,-0.20000000298023224,-1.0,-1.0
1,32,92,1,-1.0,92,0,0.1,0.0,-0.20000000298023224,-1.0,-1.0
1,33,92,2,-1.0,92,0,0.1,0.0,-0.20000000298023224,-1.0,-1.0
1,34,92,3,-1.0,72,0,0.1,0.0,-0.20000000298023224,-1.0,-1.0
1,35,72,4,-10.0,72,0,0.1,0.0,-2.0,-10.0,-10.0
1,36,72,0,-1.0,172,0,0.1,0.0,-0.20000000298023224,-1.0,-1.0
