episode,t,state,action,reward,next_state,done,epsilon,q_before,q_after,td_target,td_error
1,0,107,0,-1.0,207,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,1,207,2,-1.0,227,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,2,227,1,-1.0,127,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,3,127,0,-1.0,227,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,4,227,0,-1.0,327,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,5,327,0,-1.0,427,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,6,427,3,-1.0,427,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,7,427,0,-1.0,427,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,8,427,4,-10.0,427,0,0.3,0.0,-1.0,-10.0,-10.0
1,9,427,1,-1.0,327,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,10,327,1,-1.0,227,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,11,227,2,-1.0,247,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,12,247,0,-1.0,347,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,13,347,0,-1.0,447,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,14,447,0,-1.0,447,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,15,447,0,-1.0,447,0,0.3,-0.10000000149011612,-0.1899999976158142,-1.0,-0.8999999985098839
1,16,447,1,-1.0,347,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,17,347,3,-1.0,327,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,18,327,2,-1.0,347,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,19,347,2,-1.0,347,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,20,347,3,-1.0,327,0,0.3,-0.10000000149011612,-0.1899999976158142,-1.0,-0.8999999985098839
1,21,327,2,-1.0,347,0,0.3,-0.10000000149011612,-0.1899999976158142,-1.0,-0.8999999985098839
1,22,347,1,-1.0,247,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,23,247,1,-1.0,147,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,24,147,0,-1.0,247,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,25,247,2,-1.0,267,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,26,267,0,-1.0,367,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,27,367,0,-1.0,467,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,28,467,0,-1.0,467,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,29,467,1,-1.0,367,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,30,367,1,-1.0,267,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,31,267,1,-1.0,167,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,32,167,0,-1.0,267,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,33,267,2,-1.0,287,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,34,287,1,-1.0,187,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,35,187,0,-1.0,287,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,36,287,0,-1.0,387,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,37,387,0,-1.0,487,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,38,487,0,-1.0,487,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,39,487,1,-1.0,387,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,40,387,1,-1.0,287,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,41,287,2,-1.0,287,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,42,287,2,-1.0,287,0,0.3,-0.10000000149011612,-0.1899999976158142,-1.0,-0.8999999985098839
1,43,287,2,-1.0,287,0,0.3,-0.1899999976158142,-0.2709999978542328,-1.0,-0.8100000023841858
1,44,287,3,-1.0,267,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,45,267,3,-1.0,247,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,46,247,5,-10.0,247,0,0.3,0.0,-1.0,-10.0,-10.0
1,47,247,5,-10.0,247,0,0.3,-1.0,-1.899999976158142,-10.0,-9.0
1,48,247,3,-1.0,227,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,49,227,3,-1.0,207,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,50,207,0,-1.0,307,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,51,307,0,-1.0,407,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,52,407,0,-1.0,407,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,53,407,1,-1.0,307,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,54,307,1,-1.0,207,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,55,207,1,-1.0,107,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,56,107,0,-1.0,207,0,0.3,-0.10000000149011612,-0.1899999976158142,-1.0,-0.8999999985098839
1,57,207,3,-1.0,207,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,58,207,4,-10.0,207,0,0.3,0.0,-1.0,-10.0,-10.0
1,59,207,4,-10.0,207,0,0.3,-1.0,-1.899999976158142,-10.0,-9.0
1,60,207,5,-10.0,207,0,0.3,0.0,-1.0,-10.0,-10.0
1,61,207,0,-1.0,307,0,0.3,-0.10000000149011612,-0.1899999976158142,-1.0,-0.8999999985098839
1,62,307,2,-1.0,307,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,63,307,3,-1.0,307,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,64,307,4,-10.0,307,0,0.3,0.0,-1.0,-10.0,-10.0
1,65,307,5,-10.0,307,0,0.3,0.0,-1.0,-10.0,-10.0
1,66,307,1,-1.0,207,0,0.3,-0.10000000149011612,-0.19900000095367432,-1.0900000013411044,-0.9899999998509883
1,67,207,1,-1.0,107,0,0.3,-0.10000000149011612,-0.1899999976158142,-1.0,-0.8999999985098839
1,68,107,1,-1.0,7,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,69,7,0,-1.0,107,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,70,107,2,-1.0,127,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,71,127,1,-1.0,27,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,72,27,0,-1.0,127,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,73,127,2,-1.0,127,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,74,127,3,-1.0,107,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,75,107,0,-1.0,207,0,0.3,-0.1899999976158142,-0.2800000011920929,-1.0900000013411044,-0.9000000037252902
1,76,207,2,-1.0,227,0,0.3,-0.10000000149011612,-0.1899999976158142,-1.0,-0.8999999985098839
1,77,227,1,-1.0,127,0,0.3,-0.10000000149011612,-0.1899999976158142,-1.0,-0.8999999985098839
1,78,127,4,-10.0,127,0,0.3,0.0,-1.0,-10.0,-10.0
1,79,127,5,-10.0,127,0,0.3,0.0,-1.0,-10.0,-10.0
1,80,127,3,-1.0,107,0,0.3,-0.10000000149011612,-0.1899999976158142,-1.0,-0.8999999985098839
1,81,107,3,-1.0,107,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,82,107,4,-10.0,107,0,0.3,0.0,-1.0,-10.0,-10.0
1,83,107,4,-10.0,107,0,0.3,-1.0,-1.899999976158142,-10.0,-9.0
1,84,107,5,-10.0,107,0,0.3,0.0,-1.0,-10.0,-10.0
1,85,107,5,-10.0,107,0,0.3,-1.0,-1.909000039100647,-10.090000001341105,-9.090000001341105
1,86,107,4,-10.0,107,0,0.3,-1.899999976158142,-2.7189998626708984,-10.090000001341105,-8.190000025182963
1,87,107,1,-1.0,7,0,0.3,-0.10000000149011612,-0.1899999976158142,-1.0,-0.8999999985098839
1,88,7,1,-1.0,7,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,89,7,2,-1.0,27,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,90,27,1,-1.0,27,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,91,27,2,-1.0,27,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,92,27,3,-1.0,7,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,93,7,3,-1.0,7,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,94,7,4,-10.0,7,0,0.3,0.0,-1.0,-10.0,-10.0
1,95,7,5,-10.0,7,0,0.3,0.0,-1.0,-10.0,-10.0
1,96,7,0,-1.0,107,0,0.3,-0.10000000149011612,-0.19900000095367432,-1.0900000013411044,-0.9899999998509883
1,97,107,5,-10.0,107,0,0.3,-1.909000039100647,-2.727100133895874,-10.090000001341105,-8.180999962240458
1,98,107,5,-10.0,107,0,0.3,-2.727100133895874,-3.4633901119232178,-10.090000001341105,-7.362899867445231
1,99,107,2,-1.0,127,0,0.3,-0.10000000149011612,-0.19900000095367432,-1.0900000013411044,-0.9899999998509883
1,100,127,2,-1.0,127,0,0.3,-0.10000000149011612,-0.19900000095367432,-1.0900000013411044,-0.9899999998509883
1,101,127,0,-1.0,227,0,0.3,-0.10000000149011612,-0.1899999976158142,-1.0,-0.8999999985098839
1,102,227,4,-10.0,227,0,0.3,0.0,-1.0,-10.0,-10.0
1,103,227,5,-10.0,227,0,0.3,0.0,-1.0,-10.0,-10.0
1,104,227,0,-1.0,327,0,0.3,-0.10000000149011612,-0.1899999976158142,-1.0,-0.8999999985098839
1,105,327,2,-1.0,347,0,0.3,-0.1899999976158142,-0.2709999978542328,-1.0,-0.8100000023841858
1,106,347,4,-10.0,347,0,0.3,0.0,-1.0,-10.0,-10.0
1,107,347,2,-1.0,347,0,0.3,-0.10000000149011612,-0.1899999976158142,-1.0,-0.8999999985098839
1,108,347,5,-10.0,347,0,0.3,0.0,-1.0,-10.0,-10.0
1,109,347,0,-1.0,447,0,0.3,-0.10000000149011612,-0.1899999976158142,-1.0,-0.8999999985098839
1,110,447,2,-1.0,447,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,111,447,4,-10.0,447,0,0.3,0.0,-1.0,-10.0,-10.0
1,112,447,3,-1.0,427,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,113,427,3,-1.0,427,0,0.3,-0.10000000149011612,-0.1899999976158142,-1.0,-0.8999999985098839
1,114,427,2,-1.0,447,0,0.3,0.0,-0.10000000149011612,-1.0,-1.0
1,115,447,5,-10.0,447,0,0.3,0.0,-1.0,-10.0,-10.0
1,116,447,1,-1.0,347,0,0.3,-0.10000000149011612,-0.19900000095367432,-1.0900000013411044,-0.9899999998509883
1,117,347,5,-10.0,347,0,0.3,-1.0,-1.909000039100647,-10.090000001341105,-9.090000001341105
1,118,347,1,-1.0,247,0,0.3,-0.10000000149011612,-0.1899999976158142,-1.0,-0.8999999985098839
1,119,247,4,-10.0,247,0,0.3,0.0,-1.0,-10.0,-10.0
